PARSMitteilungen;PARSMitteilungen Computer Science general;
Plant and Soil;Plant and Soil Plant Sciences Soil Science Conservation Plant Physiology Ecology Agriculture;Plant and Soil publishes original papers and review articles exploring the interface of plant biology and soil sciences and that enhance our mechanistic understanding of plantsoil interactions This includes both fundamental and applied aspects of mineral nutrition plantwater relations symbiotic and pathogenic plantmicrobe interactions root anatomy and morphology soil biology ecology agrochemistry and agrophysics Articles discussing a major molecular or mathematical component also fall within the scope of the journal All contributions appear in the English language The EditorinChief is Hans Lambers University of Western Australia Crawley Australia Why publish with us We explore the interface of plant biology and soil sciences We provide high levels of author satisfaction with 96 of our published authors reporting that they would definitely or probably publish with us again Through Springer Compact agreements authors from participating institutions can publish Open Choice at no cost to the authors
Planta;Planta Plant Sciences Agriculture Ecology Forestry;Planta publishes timely sound and complete articles on all aspects of plant biology Works submitted for publication should contribute with new knowledge and further advance the state of the art Current Call for Papers We invite you to submit to our open topical collections Planta welcomes original research on any plant species Areas of interest include biochemistry bioenergy biotechnology cell biology development ecological and environmental physiology growth metabolism morphogenesis molecular biology new methods physiology plantmicrobe interactions structural biology and systems biology Review articles summarize recent advances in topical areas of plant biology The EditorsinChief of Planta are Dorothea Bartels Institut fr Molekulare Physiologie und Biotechnologie der Pflanzen IMBIO Universitt Bonn Germany and Anastasios Melis University of California Berkeley CA USA Planta s cited halflife the median age of articles that were cited in a given Journal Citation Report year is 10 years Why publish with us First published in 1925 our journal has been ranked in the top quartile of plant sciences journals for many years We welcome research in all areas of plant biology including work on nonmodel species With our swift and rigorous editorial process we publish articles in their final form as soon as they are ready We deliver high levels of author satisfaction with 94 of our published authors reporting that they would definitely or probably publish with us again
Plasma Chemistry and Plasma Processing;Plasma Chemistry and Plasma Processing Inorganic Chemistry Classical Mechanics Characterization and Evaluation of Materials Mechanical Engineering;Plasma Chemistry and Plasma Processing is an international journal that provides a forum for the publication of original papers on fundamental research and new developments in plasma chemistry and plasma processing The journal encompasses all types of industrial processing plasmas ranging from nonthermal plasmas to thermal plasmas and publishes fundamental plasma studies as well as studies of specific plasma applications Application contexts of interest include plasma etching in microelectronics and other fields deposition of thin films and coatings powder synthesis environmental processing lighting surface modification and others Includes studies of chemical kinetics in plasmas and the interactions of plasmas with surfaces Please note we are working with a new submission system In case you have questions regarding a submission made before February 2023 please access the system via the link provided to you in the submission confirmation email We are currently preparing a special issue on DielectricBarrier Discharges and their Applications in commemoration of the 20th anniversary of Kogelschatzs work Found out more here An international forum for fundamental research and new developments in plasma chemistry and plasma processing Offers fundamental plasma studies and studies of specific applications Covers plasma etching in microelectronics deposition of thin films and coatings powder synthesis environmental processing lighting surface modification and more 96 of authors who answered a survey reported that they would definitely publish or probably publish in the journal again
Plasma Physics Reports;Plasma Physics Reports Atomic Molecular Optical and Plasma Physics;Plasma Physics Reports is an international peerreviewed journal devoted to plasma physics The journal covers the following topics hightemperature plasma physics related to the problem of controlled nuclear fusion based on magnetic and inertial confinement physics of cosmic plasma including magnetosphere plasma sun and stellar plasma etc gas discharge plasma and plasma generated by laser and particle beams The journal also publishes papers on such related topics as plasma electronics generation of radiation in plasma and plasma diagnostics As well as other original communications the journal publishes topical reviews and conference proceedings The journal welcomes manuscripts from all countries PEER REVIEW Plasma Physics Reports is a peer reviewed journal We use a double blind peer review format The average period from submission to first decision is 40 days The average rejection rate for submitted manuscripts is 40 The final decision on the acceptance of an article for publication is made by the Editorial Board Any invited reviewer who feels unqualified or unable to review the manuscript due to the conflict of interests should promptly notify the editors and decline the invitation Reviewers should formulate their statements clearly in a sound and reasoned way so that authors can use reviewers arguments to improve the manuscript Personal criticism of the authors must be avoided Reviewers should indicate in a review i any relevant published work that has not been cited by the authors ii anything that has been reported in previous publications and not given appropriate reference or citation ii any substantial similarity or overlap with any other manuscript published or unpublished of which they have personal knowledge Published since the infancy of plasma physics founded 1975 Covers hightemperature plasma physics connected with the problem of controlled nuclear fusion based on magnetic and inertial confinement physics of cosmic plasma gas discharge plasma and more Along with other original communications the journal offers topical reviews and conference proceedings
Plasmas and Polymers;Plasmas and Polymers Classical Mechanics Characterization and Evaluation of Materials Mechanical Engineering Inorganic Chemistry Nuclear Physics Heavy Ions Hadrons;
Plasmonics;Plasmonics Biotechnology Nanotechnology Biological and Medical Physics Biophysics Biochemistry general;Plasmonics publishes peerreviewed articles that both advance and report on the knowledge and practice of the interactions of freemetal electrons Plasmons Coverage includes theory physics and applications of surface plasmons in metals and rapidly emerging areas of nanotechnology biophotonics sensing biochemistry and medicine The journal covers the theory synthesis and optical properties of noble metal nanostructures patterned surfaces continuous or grated surfaces and devices Applications include surfaceenhanced spectroscopic properties such as Raman scattering or fluorescence as well developments in techniques such as surface plasmon resonance and nearfield scanning optical microscopy Papers describe new plasmonic based devices new synthetic procedures for the preparation of nanostructures and their optical properties as well their applications in analytical sensing The journal presents reviews rapid communications letters to the editors and technical and design notes Plasmonics is edited by Professor Chris D Geddes Director of the Institute of Fluorescence at the University of Maryland Baltimore County Maryland USA httptheinstituteoffluorescencecomindexhtml Publishes peerreviewed articles that advance and report on interactions of freemetal electrons Plasmons Describes new plasmonic based devices new synthetic procedures for the preparation of nanostructures and their optical properties and their applications in analytical sensing Presents reviews rapid communications letters to the editors and technical and design notes
Pneumo News;Pneumo News PneumologyRespiratory System;Pneumo News bietet praxisnahe Fortbildung zu allen Fachgebieten der Lungenheilkunde Kernstck sind von Experten verfasste und kommentierte Referate der aktuellen internationalen Fachliteratur Auerdem werden Fallberichte bersichtsarbeiten und in jeder Ausgabe ein praxisrelevantes CMEModul angeboten Die Highlights von nationalen und internationalen Pneumologiekongressen werden in Berichten und Interviews vorgestellt
Pneumonia;Pneumonia PneumologyRespiratory System Infectious Diseases;
PodoPost;PodoPost Internal Medicine;Podopost is het grootste vakblad voor de voetverzorger en pedicure In Podopost vindt u onder andere interessante vakgerichte artikelen geschreven door ervaren vakgenoten en praktijkverhalen Daarnaast vindt u artikelen over cosmetische voetverzorging interviews met uw collegas productinformatie en natuurlijk het laatste nieuws
Podosophia;Podosophia Internal Medicine;Podosophia richt zich in het bijzonder op podotherapeuten De redactie publiceert onder andere artikelen van deskundige podotherapeuten sportartsen bewegingswetenschappers praktijkadviseurs docenten en revalidatieartsen Podosophia stelt zich ten doel de beroepsgroep van podotherapeuten te voorzien van informatie die nodig is voor het inhoudelijk uitoefenen van het vak en het voeren van de praktijk Daarbij is ook ruim aandacht voor de specialisaties sportpodotherapie en diabetespodotherapie
Poiesis Praxis;Poiesis Praxis Ethics;
Polar Biology;Polar Biology Ecology Oceanography Microbiology Plant Sciences Zoology;Call for Papers Special Issue on Bioticallymediated nutrient transfer see Journal Updates page for submission information Polar Biology is a focal point for biologists working in polar regions It is also of interest to scientists working in biology ecology and physiology in general as well as in oceanography and climatology related to polar life Polar Biology publishes Research papers Reviews Brief Reports Correspondence and Comments that present results of studies on plants animals and microorganisms of ocean land and freshwater habitats in polar and subpolar regions of both hemispheres from a wide range of topics Taxonomy Biogeography Life History Spatiotemporal Patterns in Abundance and Diversity Ecological Interactions Trophic Ecology Ecophysiology Biochemistry of Adaptation Biogeochemical Pathways and Cycles Ecological Models Human Impact Climate Change Conservation Why publish in Polar Biology The journals diverse and international editorial board includes representation across many subspecialties of research The journal welcomes authors to collaborate and contribute to special topical collections and supplements for consideration POBI welcomes diverse contributions that focus on original research within the Arctic and Antarctic regions The journal is pleased to announce that its 2021 Impact Factor is 2198 and it is ranked in two Clarivate categories Ecology and Biodiversity Conservation
Policy Sciences;Policy Sciences Political Science Economic Policy Public Administration;With an interdisciplinary and international focus Policy Sciences encourages a diversity of perspectives The editors especially welcome conceptual and empirical innovation together with the potential richness and insight of comparative orientation The journal offers articles that examine the normative aspects of policy sciences conceptual articles addressing concrete policy issues articles on particularly controversial pieces of analysis opposing perspectives including critiques and rejoinders on articles already published which open the journal to an exchange of views rather than restricting it to pure presentation and special issues that analyze specific topics in depth Policy Sciences favors but does not publish exclusively works that either explicitly or implicitly utilize the policy sciences framework The policy sciences are a distinctive subset within the policy movement in that they embrace the traditions of innovated and elaborated by Harold D Lasswell and Myers S McDougal The policy sciences can be applied to articles with greater or lesser intensity to accommodate the focus of an authors work At the minimum this means taking a problem oriented multimethod or contextual approach For additional direction authors may consult our Aims and Scope section httpwwwspringercomsocialsciencespoliticalsciencejournal11077 Officially cited as Policy Sci Brings an interdisciplinary and international focus to the study of policy Welcomes conceptual and empirical innovation Addresses the normative aspects of policy sciences and concrete policy issues along with analysis critiques and discussion Publishes special issues probing specific topics in depth
Political Behavior;Political Behavior Political Science Sociology general;Political Behavior publishes original research in the general fields of political behavior institutions processes and policies Coverage focuses on conventional and unconventional political behavior of individuals or small groups and of large organizations that participate in the political process such as parties interest groups political action committees governmental agencies and mass media As an interdisciplinary journal Political Behavior integrates a variety of analytical approaches across different levels of theoretical abstraction and empirical domain The exploration includes economic perspectives in preference structuring and bargaining psychological aspects of attitude motivations and perceptions sociological orientation of roles group or class or political stance in decision making coalitions and influence Please keep submissions to 7500 words or fewer Officially cited as Polit Behav Published in association with the Elections Public Opinion and Voting Behavior section of the American Political Science Association Follow Political Behavior online facebookcompoliticalbehavior Twitter PolBehavior WordPress politicalbehaviorwordpresscom httpwwwapsanetorgsection32 Publishes original research on political behavior institutions processes and policies Focuses on behavior of individuals small groups and large organizations Integrates a variety of analytical approaches
Politische Vierteljahresschrift;Politische Vierteljahresschrift Political Science and International Relations general Political Science German Politics Political Theory;Die Politische Vierteljahresschrift PVS German Political Science Quarterly bietet Raum fr neueste Forschungsergebnisse aus allen Teildisziplinen der Politikwissenschaft Sie beinhaltet doppelblind begutachtete Beitrge aus der Politischen Theorie und Ideengeschichte aus dem Bereich Analyse und Vergleich politischer Systeme aus der PolicyAnalyse aus dem Bereich der Internationalen Beziehungen und der Auenpolitik aus der empirischen Sozialforschung und Methodenlehre der Politischen Soziologie sowie der Didaktik der Politikwissenschaft Die in der PVS verffentlichten Beitrge stammen von deutschen bzw deutschsprachigen Politikwissenschaftlerinnen sowie von internationalen Politikwissenschaftlerinnen die sich mit der deutschen bzw deutschsprachigen Politikwissenschaft auseinandersetzen Die PVS wird im Social Sciences Citation Index SSCI erfasst Politische Vierteljahresschrift PVS German Political Science Quarterly GPSQ publishes the latest doubleblind peerreviewed research results from all subdisciplines of political science It thus includes original contributions from political theory and the history of ideas from the analysis and comparison of political systems from policy analysis from the field of international relations and foreign policy from empirical social research and methodology from political sociology as well as political science pedagogy The contributions published in PVS come from German or Germanspeaking political scientists as well as from international political scientists who refer to the German or Germanspeaking political sciences PVS is listed in the Social Sciences Citation Index SSCI
Polity;Polity Political Science and International Relations general Political Science International Relations US Politics Political Theory;
Polymer Bulletin;Polymer Bulletin Polymer Sciences Soft and Granular Matter Complex Fluids and Microfluidics Characterization and Evaluation of Materials Physical Chemistry Organic Chemistry;Polymer Bulletin publishes significant advances in polymer science including chemistry physical chemistry physics and material science It aims to provide a meeting ground for researchers who daily encounter problems related to polymers and who welcome opportunities to share their discoveries in a most expeditious manner Publishes research papers reviews and featured articles Cuttingedge developments in Polymer Science
Polymer Science Series A;Polymer Science Series A Polymer Sciences;Polymer Science Series A is an international peerreviewed journal that publishes experimental and theoretical papers and reviews devoted to physicochemical studies of the structure and properties of polymers six issues a year The journal presents original papers and reviews covering all fundamental aspects of macromolecular science Contributions should be of marked novelty and interest for a broad readership Online submission via Internet is available at httppolymsciru The journal welcomes manuscripts from all countries PEER REVIEW Polymer Science Series A is a peer reviewed journal We use a single blind peer review format The average period from submission to first decision is 40 days The average rejection rate for submitted manuscripts is 51 The final decision on the acceptance of an article for publication is made by the Associate Editor Any invited reviewer who feels unqualified or unable to review the manuscript due to the conflict of interests should promptly notify the editors and decline the invitation Reviewers should formulate their statements clearly in a sound and reasoned way so that authors can use reviewers arguments to improve the manuscript Personal criticism of the authors must be avoided Reviewers should indicate in a review i any relevant published work that has not been cited by the authors ii anything that has been reported in previous publications and not given appropriate reference or citation ii any substantial similarity or overlap with any other manuscript published or unpublished of which they have personal knowledge
Polymer Science Series B;Polymer Science Series B Polymer Sciences;Polymer Science Series B is an international peerreviewed journal that publishes experimental and theoretical papers and reviews dealing with the synthesis kinetics catalysis and chemical transformations of macromolecules supramolecular structures and polymer matrixbased composites six issues a year The journal presents original papers and reviews covering all fundamental aspects of macromolecular science Contributions should be of marked novelty and interest for a broad readership Online submission via Internet is available at httppolymsciru The journal welcomes manuscripts from all countries PEER REVIEW Polymer Science Series B is a peer reviewed journal We use a single blind peer review format The average period from submission to first decision is 40 days The average rejection rate for submitted manuscripts is 51 The final decision on the acceptance of an article for publication is made by the Associate Editor Any invited reviewer who feels unqualified or unable to review the manuscript due to the conflict of interests should promptly notify the editors and decline the invitation Reviewers should formulate their statements clearly in a sound and reasoned way so that authors can use reviewers arguments to improve the manuscript Personal criticism of the authors must be avoided Reviewers should indicate in a review i any relevant published work that has not been cited by the authors ii anything that has been reported in previous publications and not given appropriate reference or citation ii any substantial similarity or overlap with any other manuscript published or unpublished of which they have personal knowledge
Polymer Science Series C;Polymer Science Series C Polymer Sciences;Polymer Science Series C Selected Topics is an international peerreviewed journal that publishes experimental and theoretical papers and reviews on the trending topics of macromolecular science chosen by the editorial board two issues a year Only solicited publication in the journal is possible Contributions should be of marked novelty and interest for a broad readership Online submission via Internet is available at httppolymsciru PEER REVIEW Polymer Science Series C is a peer reviewed journal We use a single blind peer review format The average period from submission to first decision is 40 days The average rejection rate for submitted manuscripts is 51 The final decision on the acceptance of an article for publication is made by the Associate Editor Any invited reviewer who feels unqualified or unable to review the manuscript due to the conflict of interests should promptly notify the editors and decline the invitation Reviewers should formulate their statements clearly in a sound and reasoned way so that authors can use reviewers arguments to improve the manuscript Personal criticism of the authors must be avoided Reviewers should indicate in a review i any relevant published work that has not been cited by the authors ii anything that has been reported in previous publications and not given appropriate reference or citation ii any substantial similarity or overlap with any other manuscript published or unpublished of which they have personal knowledge
Polymer Science Series D;Polymer Science Series D Polymer Sciences;Polymer Science Series D publishes English translations of selected articles from two Russianlanguage journals listed below and original unsolicited articles in the English language Klei Germetiki Tekhnologii main source and Vse Materialy additional source The source of each article is described at the article level on the title pages The final decision about the publication in Polymer Science Series D is made by its editorial board regardless of the source The editorial and peer review policies and ethical principles are the same for all translated and original articles The journal welcomes manuscripts from all countries PEER REVIEW Polymer Science Series D is a peer reviewed journal We use a single blind peer review format The average period from submission to first decision is 30 days The average rejection rate for submitted manuscripts is 15 The final decision on the acceptance of an article for publication is made by the Editorial Board Any invited reviewer who feels unqualified or unable to review the manuscript due to the conflict of interests should promptly notify the editors and decline the invitation Reviewers should formulate their statements clearly in a sound and reasoned way so that authors can use reviewers arguments to improve the manuscript Personal criticism of the authors must be avoided Reviewers should indicate in a review i any relevant published work that has not been cited by the authors ii anything that has been reported in previous publications and not given appropriate reference or citation ii any substantial similarity or overlap with any other manuscript published or unpublished of which they have personal knowledge The journal Polymer Science Series D Glues and Sealing Materials is the only journal in Russia which elucidates all main problems of gluing and sealing at a high scientific and technical level Its a scientific engineering educational and methodical journal designed for specialists of industry research and development institutes as well as university researchers and postgraduates The scientists from leading scientific institutions of Russia Lomonosov Moscow State University Bauman State Technical University Mendeleev University of Chemical Technology Nesmeyanov Institute of Organoelement Compounds Semenov Institute of Chemical Physics etc are also the authors of the journal Wellknown world producers of gluing materials such as Henkel Akzo Nobel and Bayer appreciate high level of journal publications The materials submitted by Diamant AGA and other industrial companies are published
Polytechnica;Polytechnica Engineering general Environment general Energy general;Polytechnica accepts authoritative research manuscripts that address current challenges and new trends in Engineering and which combine problem analysis with stateoftheart technological and innovative solutions to address societys problems Engineering topics can be approached from various points of view historical systemic or problembased ones covering new and emerging technologies and new formal developments Polytechnica encourages multi and interdisciplinary studies that help to benefit researchers by conjoining Engineering with other fields such as Communications the Human Sciences Natural Sciences and Health Studies Therefore Polytechnica is committed to exploring paradigm shifts that due to the broader perspective could potentially change the future of technology and humankind Each issue of Polytechnica focuses on a specific problem of global impact from an interdisciplinary perspective and while applying emerging technologies Polytechnica promotes a new perspective on research committed to the development of new topdown engineering approaches ie those focusing on societywide problems rather than on consolidated engineering areas alone As such Polytechnica offers a fresh and valuable source of information for students researchers practitioners policymakers and all those committed to the advancement of engineering Presents research in which engineering intersects with communications the human sciences natural sciences health studies and more Each issue focuses on a problem of global impact applying interdisciplinary perspectives and emerging technologies Benefits students researchers practitioners policymakers and others committed to the advancement of engineering
Population Ecology;Population Ecology Ecology Zoology Plant Sciences Evolutionary Biology Behavioral Sciences Forestry;
Population Health Metrics;Population Health Metrics Public Health Epidemiology Research Methodology Health Services Research;
Population Research and Policy Review;Population Research and Policy Review Demography Sociology general Population Economics;Population Research and Policy Review PRPR provides a broad interdisciplinary coverage of population research and offers an up to date and solid basis of information on the policy implications of recent research relevant to the causes and consequences of changing population size and composition PRPR is the only demography journal that publishes work using ethnographic methods comparativehistorical methods discourse analysis and others Coverage includes demographic economic social political and health research papers and related contributions which are based on either the direct scientific evaluation of particular policies or programs or general contributions to advance knowledge that informs policy and program development The journal publishes top quality material of interest to professionals working in the fields of population and those fields which intersect and overlap with population studies Published six times a year Population Research and Policy Review is the flagship journal of the Southern Demographic Association SDA Now accepting Research Briefs Publishes articles using any well executed methodological approach Includes articles advancing knowledge that informs policy and program development Combines coverage of population research with analysis of the consequent policy implications The flagship journal of the Southern Demographic Association SDA
Population Trends;Population Trends Statistics general;
Population and Environment;Population and Environment Demography Environment general Population Economics Public Health Sociology general;The sole social science journal focused on interdisciplinary research on social demographic aspects of environmental issues The journal publishes cuttingedge research that contributes new insights on the complex reciprocal links between human populations and the natural environment in all regions and countries of the world Quantitative qualitative or mixed methods contributions are welcome Disciplines commonly represented in the journal include demography geography sociology human ecology environmental economics public health anthropology and environmental studies The journal publishes original research research brief and review articles Examples of relevant topics include Fertility and land availability tenure systems Mortality or morbidity and environmental pollutant exposures Migration and natural resource decline Health wellbeing and environmental implications of development Social stratification and natural hazards Quality of life and environmental amenities Population redistribution and land use change Population composition and energy consumption Urbanizations impact on environment and human health Gender and environmental concern Disease patterns and climate change Demographic aspects of consumptionenvironment linkages In addition Population and Environment welcomes proposals for special issues focused on innovative topics in the field Please contact the EditorinChief to propose a special issue Focuses on interdisciplinary research on social demographic aspects of environmental issues Explores reciprocal links between human populations and the natural environment Spans a broad range of disciplines
Porcine Health Management;Porcine Health Management Veterinary MedicineVeterinary Science Zoology;
Portuguese Economic Journal;Portuguese Economic Journal Economics general Economic TheoryQuantitative EconomicsMathematical Methods Economic Policy Microeconomics Econometrics;The Portuguese Economic Journal publishes highquality theoretical empirical applied or policyoriented research papers on any field in economics We enforce a rigorous fair and prompt refereeing process The geographical reference in the name of the journal only means that the journal is an initiative of Portuguese scholars There is no bias in favour of particular topics and issues Officially cited as Port Econ J
Positivity;Positivity Fourier Analysis Operator Theory Potential Theory Calculus of Variations and Optimal Control Optimization Econometrics;Please note this journals peer review system has changed it now uses Snapp Springer Natures Article Processing Platform See the journal updates page for more information The purpose of Positivity is to provide an outlet for high quality original research in all areas of analysis and its applications to other disciplines having a clear and substantive link to the general theme of positivity Specifically articles that illustrate applications of positivity to other disciplines including but not limited to economics engineering life sciences physics and statistical decision theory are welcome The scope of Positivity is to publish original papers in all areas of mathematics and its applications that are influenced by positivity concepts This includes the following areas ordered topological vector spaces including Banach lattices and ordered Banach spaces positive and order bounded operators including spectral theory operator equations ergodic theory approximation theory and interpolation theory Banach spaces including their geometry unconditional and symmetric structures noncommutative function spaces and asymptotic theory C and other operator algebras especially noncommutative order theory geometric and probabilistic aspects of functional analysis partial differential equations including maximum principles diffusion elliptic and parabolic equations and subsolutions positive solutions for functional equations positive semigroups potential theory and harmonic functions harmonic analysis variational analysis and variational inequalities optimization and optimal control convex and nonsmooth analysis complementarity theory maximal element principles measure theory including Boolean algebras and stochastic processes nonstandard analysis and Boolean valued models Applications of the above fields to other disciplines and areas Bibliographic Data Positivity 1 volume per year 5 issues per volume Format 155 x 235 cm ISSN 13851292 print ISSN 15729281 electronic AMS Mathematical Citation Quotient MCQ 057 2020 Presents research in all areas of analysis and its applications to other disciplines having a clear and substantive link to the general theme of positivity Illustrates applications of positivity to other disciplines including economics engineering life sciences physics and statistical decision theory 92 of authors who answered a survey reported that they would definitely publish or probably publish in the journal again
Postdigital Science and Education;Postdigital Science and Education Technology and Digital Education Educational Technology Educational Philosophy;We are increasingly no longer in a world where digital technology and media is separate virtual other to a natural human and social life and education is often at the forefront of these trends Journals engaged with technology and education tend to view the research field as concerned with the effects of digital media and other technologies on the existing activities of teaching learning in education thus continuing to assume a clear division between an authentic educational practice and the imposition of an external and novel technology However during the past years we are witnessing a rapid growth in number of academic books and articles dealing explicitly and implicitly with education and research in and for the postdigital age Postdigital Science and Education fills the gap in the scholarly community as the first academic journal in education as well as in the humanities and the social sciences with an explicit focus to postdigital themes and research approaches It is an exciting hub for a growing body of scholarship in the field and enables communication dissemination and community building for researchers authors and students If you have any questions about the journal and how to submit please contact the EiC Petar Jandric at petarjandrictvzhr Fills a gap in the scholarly community as the first academic journal in education with an explicit focus to postdigital themes and research approaches Links various subdisciplines of scholarship within education the social sciences and the humanities across the topic of digital technologies and postdigital being and knowledge Focuses both on theory and practice and welcomes contributions from wide range of disciplines and research methodologies
Potato Research;Potato Research Plant Sciences Agriculture Plant Genetics and Genomics Plant SystematicsTaxonomyBiogeography;Potato Research the journal of the European Association for Potato Research EAPR promotes the exchange of information on all aspects of this fastevolving global industry It offers the latest developments in innovative research to scientists active in potato research The journal presents authoritative coverage of new scientific developments offering original research and review papers on such topics as Molecular sciences Breeding Physiology Pathology Nematology Virology Agronomy and Engineering and Utilization Potato Research also publishes reports and papers from the Triennial Conferences of the EAPR along with accounts of meetings of the Sections of the Association book reviews and more Peer review is conducted using Editorial Manager supported by a database of international experts This database is shared with the journals American Journal of Potato Research and Euphytica Offers the latest results to scientists active in potato research Coverage includes Molecular sciences Breeding Physiology Pathology Nematology Virology Agronomy and Engineering and Utilization Publishes reports and papers from Conferences of the EAPR accounts of meetings of the Sections of the Association book reviews and more Journal of the European Association for Potato Research EAPR
Potential Analysis;Potential Analysis Potential Theory Probability Theory and Stochastic Processes Geometry Functional Analysis;This journal publishes original papers dealing with potential theory and its applications probability theory geometry and functional analysis and in particular estimations of the solutions of elliptic and parabolic equations analysis of semigroups resolvent kernels harmonic spaces and Dirichlet forms Markov processes Markov kernels stochastic differential equations diffusion processes and Levy processes analysis of diffusions heat kernels and resolvent kernels on fractals infinite dimensional analysis Gaussian analysis analysis of infinite particle systems of interacting particle systems of Gibbs measures of path and loop spaces connections with global geometry linear and nonlinear analysis on Riemannian manifolds Lie groups graphs and other geometric structures nonlinear or semilinear generalizations of elliptic or parabolic equations and operators harmonic analysis ergodic theory dynamical systems and boundary value problems Martin boundaries Poisson boundaries Examines potential theory and its applications probability theory geometry and functional analysis 100 of authors who answered a survey reported that they would definitely publish or probably publish in the journal again
Powder Metallurgy and Metal Ceramics;Powder Metallurgy and Metal Ceramics Characterization and Evaluation of Materials Metallic Materials Ceramics Glass Composites Natural Materials;Powder Metallurgy and Metal Ceramics covers topics of the theory manufacturing technology and properties of powder technology of forming processes the technology of sintering heat treatment and thermochemical treatment properties of sintered materials and testing methods Powder Metallurgy and Metal Ceramics is a translation of the peerreviewed Ukrainian journal Poroshkovaya Metallurgiya Focuses on scientific bases for powder metallurgy and development of new powder and composite materials as well as advanced powder materials and coatings technology Gives special attention to structural nonoxide and functional oxide ceramics Develops topics on nanodisperse state of substance Brings topical publications on physicalchemical and structural study of materials
Power Technology and Engineering;Power Technology and Engineering Energy Systems Power Electronics Electrical Machines and Networks Renewable and Green Energy Geoengineering Foundations Hydraulics;Power Technology and Engineering investigates all aspects of electrical power generation and distribution with an emphasis on sustainable technologies and environmentally sensitive issues Topics include construction and operation of hydroelectric and thermal power stations nontraditional power generation electrical lines and equipment renewable sources of energy and environmental issues Articles are selected based on their scientific and technical quality topical coverage and significance to a worldwide audience The journal publishes articles selected from the peer reviewed Russian journals Gidrotekhnicheskoe Stroitelsvo Hydrotechnical Construction and Elektricheskie Stantsii Electrical Power Stations Investigates all aspects of electrical power generation and distribution Focuses on sustainable technologies and environmentally sensitive issues Addresses construction and operation of hydroelectric and thermal power stations nontraditional power generation electrical lines and equipment renewable sources of energy and environmental issues
Praktische Huisartsgeneeskunde;Praktische Huisartsgeneeskunde Primary Care Medicine Medical Education;
Pramana;Pramana Physics general Astronomy Observations and Techniques Astrophysics and Astroparticles;Pramana Journal of Physics is a monthly research journal in English published by the Indian Academy of Sciences in collaboration with Indian National Science Academy and Indian Physics Association The journal presents refereed papers covering current research in Physics both original contributions research papers brief reports or rapid communications and invited reviews Pramana also offers special issues devoted to advances in specific areas of Physics and proceedings of select high quality conferences Published by the Indian Academy of Sciences Published by the Indian Academy of Sciences in collaboration with Indian National Science Academy and Indian Physics Association Presents refereed papers covering current research in Physics both original contributions and invited reviews Special issues are devoted to advances in specific areas of Physics and proceedings of select high quality conferences
Precision Agriculture;Precision Agriculture Agriculture Soil Science Conservation Remote SensingPhotogrammetry Statistics for Engineering Physics Computer Science Chemistry and Earth Sciences Atmospheric Sciences;The International Society of Precision Agriculture httpswwwispagorg adopted the following definition of precision agriculture in 2019 Precision agriculture is a management strategy that gathers processes and analyzes temporal spatial and individual data and combines it with other information to support management decisions according to estimated variability for improved resource use efficiency productivity quality profitability and sustainability of agricultural production Topics that are addressed in the journal include Withinfield natural resources variability including soil and crop variability and characteristics Managing variability including sampling techniques and methods nutrient and crop protection chemicals recommendation and crop quality Engineering technology focusing on sensor systems computational techniques positioning systems and control systems for sitespecific application Adoption and economics of precision agriculture management Environmental coverage including sediments leaching runoff and drainage related to withinfield spatial variability Precision Agriculture Presents the most innovative results emerging from research in the field Provides an effective forum for disseminating original and fundamental research and experience in this rapidly advancing field Submissions are encouraged on measurement management technology and impact of spatial variability at the withinfield scale Presents the most innovative results emerging from research in the field of precision agriculture Provides an effective forum for disseminating original and fundamental research and experience in this rapidly advancing field Submissions are encouraged on measurement management technology and impact of spatial variability at the withinfield scale 100 of authors who answered a survey reported that they would definitely publish or probably publish in the journal again
Prevention Science;Prevention Science Public Health Health Psychology Child and School Psychology;Prevention sciences encompassing etiology epidemiology and intervention are represented through peerreviewed original research articles on a variety of health and social problems including but not limited to substance abuse mental health HIVAIDS violence bullying accidents teenage pregnancy suicide delinquency STDs obesity dietnutrition exercise and chronic illness The journal is the official publication of the Society for Prevention Research and publishes literature reviews theoretical articles metaanalyses systematic reviews brief reports replication studies and papers concerning new developments in methodology
