CABI Agriculture and Bioscience;CABI Agriculture and Bioscience Agriculture;
Cognitive Research Principles and Implications;Cognitive Research Principles and Implications Cognitive Psychology Experimental Psychology Neurosciences;
Cognitive Therapy and Research;Cognitive Therapy and Research Quality of Life Research Clinical Psychology Cognitive Psychology;Cognitive Therapy and Research publishes experimental studies theoretical review technical and methodological articles case studies and brief reports It is a broadly conceived interdisciplinary journal that stimulates and communicates research and theory on the role of cognitive processes in human adaptation and adjustment Contributions integrate diverse topics encompassing clinical cognitive counseling developmental experimental learning personality and social psychology The journal examines all topics that pertain to psychological problems including affective disorders anxiety disorders schizophrenia eating disorders substance abuse disorders of childhood and adolescence psychological dysfunction in aging and personality Most of the journals publication space is devoted to experimental studies that seek to advance the field in such ways as providing new knowledge or information on a particular clinical problem or issue
Cognitive Affective Behavioral Neuroscience;Cognitive Affective Behavioral Neuroscience Cognitive Psychology Neurosciences;Cognitive Affective Behavioral Neuroscience CABN offers theoretical review and primary research articles on behavior and brain processes in humans Coverage includes normal function as well as patients with injuries or processes that influence brain function neurological disorders including both healthy and disordered aging and psychiatric disorders such as schizophrenia and depression CABN is the leading vehicle for strongly psychologically motivated studies of brainbehavior relationships through the presentation of papers that integrate psychological theory and the conduct and interpretation of the neuroscientific data The range of topics includes perception attention memory language problem solving reasoning and decisionmaking emotional processes motivation reward prediction and affective states and individual differences in relevant domains including personality Cognitive Affective Behavioral Neuroscience is a publication of the Psychonomic Society Cognitive Affective Behavioral Neuroscience is committed to upholding principles of integrity in scientific publishing and practice As a member of the Committee on Publication Ethics COPE the journal will follow COPE guidelines concerning procedures for handling potential acts of professional misconduct Covers normal function as well as brain injuries and disorders affection brain function Integrates theory with interpretation of neuroscientific data A publication of the Psychonomic Society
Coke and Chemistry;Coke and Chemistry Industrial ChemistryChemical Engineering;Coke and Chemistry is an international peerreviewed journal that publishes articles on the scientific developments and applications in the field of coal beneficiation and preparation for coking coking processes design of coking ovens and equipment byproduct recovery automation of technological processes ecology and economics It also presents information on thermal rectification use of smokeless coal as an energy source and manufacture of different liquid and solid chemical products The journal welcomes manuscripts from all countries This is an indispensable journal for engineers chemists and technical staff involved with coal carbonization and the production of metallurgical and gas coke and in the recovery and refining of the byproducts of coking It is the only Russian systematic source of information on the selection and preparation of coals for carbonization the coking process as such and the recovery and processing of the chemical products of carbonization The journal is also useful for academics and students in the field as well as for practitioners
Collagen and Leather;Collagen and Leather Materials Science general Materials Engineering;
Collectanea Mathematica;Collectanea Mathematica Applications of Mathematics Algebra Geometry Analysis;Collectanea Mathematica publishes original research peer reviewed papers of high quality in all fields of pure and applied mathematics It is an international journal of the University of Barcelona and the oldest mathematical journal in Spain It was founded in 1948 by Jos M Orts Previously selfpublished by the Institut de Matemtica IMUB of the Universitat de Barcelona as of 2011 it is published by Springer High quality of papers in all areas of mathematics Oldest mathematical journal in Spain
Colloid Journal;Colloid Journal Polymer Sciences Surfaces and Interfaces Thin Films;Colloid Journal is an international peerreviewed journal that publishes the results of research in the area of physics and chemistry of the disperse state of matter and interfacial phenomena The journal covers experimental and theoretical works on a great variety of colloid and surface phenomena the structure and properties of interfaces adsorption phenomena and structure of adsorption layers of surfactants capillary phenomena wetting films wetting and spreading and detergency The formation of colloid systems their molecularkinetic and optical properties surface forces interaction of colloidal particles stabilization and criteria of stability of disperse systems lyosols and aerosols suspensions emulsions foams and micellar systems are also topics of the journal Colloid Journal also includes the electrosurface and electrokinetic phenomena ie phenomena dealing with the existence of diffusion layers of molecules and ions in the vicinity of the interface The journal publishes reviews and original articles and welcomes manuscripts from all countries Peer review and editorial policy The journal follows the Springer Nature Peer Review Policy Process and Guidance Springer Nature Journal Editors Code of Conduct and COPEs Ethical Guidelines for Peerreviewers Approximately 10 of the manuscripts are rejected without review based on formal criteria as they do not comply with the submission guidelines Each manuscript is assigned to 25 peer reviewers The journal follows a singleblind reviewing procedure The average period from submission to the first decision is usually at most 15 days The approximate rejection rate is 30 The final decision on the acceptance of a manuscript for publication is made by the responsible Editor If Editors including the EditorinChief publish in the journal they do not participate in the decisionmaking process for manuscripts where they are listed as coauthors Special issues published in the journal follow the same procedures as all other issues If not stated otherwise special issues are prepared by the members of the editorial board without guest editors
Colloid and Polymer Science;Colloid and Polymer Science Polymer Sciences Soft and Granular Matter Complex Fluids and Microfluidics Characterization and Evaluation of Materials Physical Chemistry Food Science Nanotechnology and Microengineering;Colloid and Polymer Science publishes significant advances in colloid and polymer science Please note we are working with a new submission system In case you have questions regarding a submission made before February 2023 please access the system via the link provided to you in the submission confirmation email CPS is a leading international journal of longstanding tradition devoted to colloid and polymer science and its interdisciplinary interactions As such it responds to a demand which has lost none of its actuality as revealed in the trends of contemporary materials science To enable an effective and fast dissemination of scientific manuscripts four categories of contributions are presented Invited review articles Perspectives Original contributions Short communications The latter will be published with high priority at least within two weeks after acceptance of the manuscript The usual time between acceptance and publishing OnlineFirst is typically three weeks With this immediacy Colloid and Polymer Science serves as a reliable partner for an effective distribution of scientific results Purely applicationoriented manuscripts as well as routine work are not accepted A modern leading international journal with a longstanding tradition since 1906 Publishes outstanding research results from all areas of colloid and polymer science and interdisciplinary interactions Provides invited reviews original contributions short communications and perspectives articles 61 of authors who answered a survey reported that they would definitely publish or probably publish in the journal again NEW No submission fee for fullcolor illustrations of accepted articles
Combination Products in Therapy;Combination Products in Therapy Internal Medicine Diabetes Oncology Reproductive Medicine Ophthalmology Cardiology;
Combinatorica;Combinatorica Combinatorics Mathematics general;Combinatorica is an international journal of the Jnos Bolyai Mathematical Society It publishes research papers on a variety of areas of combinatorics and the theory of computing with particular emphasis on general techniques and unifying principles Coverage in Combinatorica includes combinatorial structures graphs hypergraphs matroids designs permutation groups combinatorial optimization combinatorial aspects of geometry and number theory algorithms in combinatorics and related fields computational complexity theory randomization and explicit construction in combinatorics and algorithms An international journal of the Jnos Bolyai Mathematical Society Publishes research papers on a variety of areas of combinatorics and the theory of computing Places emphasis on general techniques and unifying principles
Combustion Explosion and Shock Waves;Combustion Explosion and Shock Waves Classical Mechanics Classical and Continuum Physics Physical Chemistry Vibration Dynamical Systems Control Engineering general;Combustion Explosion and Shock Waves is an international peerreviewed journal that presents toplevel studies in the physics and chemistry of combustion and detonation processes structural and chemical transformation of matter in shock and detonation waves and related phenomena Each issue contains valuable information on initiation of detonation in condensed and gaseous phases environmental consequences of combustion and explosion engine and power unit combustion production of new materials by shock and detonation waves explosion welding explosive compaction of powders dynamic responses of materials and constructions and hypervelocity impact The journal welcomes manuscripts from all countries Peer review and editorial policy The journal follows the Springer Nature Peer Review Policy Process and Guidance Springer Nature Journal Editors Code of Conduct and COPEs Ethical Guidelines for Peerreviewers Approximately 10 of the manuscripts are rejected without review based on formal criteria as they do not comply with the submission guidelines Each manuscript is assigned to at least one peer reviewer The journal follows a singleblind reviewing procedure The period from submission to the first decision is up to 3 months The approximate rejection rate is 15 The final decision on the acceptance of a manuscript for publication is made by the meeting of the Editorial Board If Editors including the EditorinChief publish in the journal they do not participate in the decisionmaking process for manuscripts where they are listed as coauthors Special issues published in the journal follow the same procedures as all other issues If not stated otherwise special issues are prepared by the members of the editorial board without guest editors Publishes research papers on the combustion of condensed gas and disperse systems detonation and shockwave propagation Emphasizes Physics and Chemistry of Combustion and Detonation Processes Structural and Chemical Transformation of Matter in Shock and Detonation Waves and Related Phenomena Published in English simultaneously with the Russian original Fizika Goreniya i Vzryza
Commentarii Mathematici Helvetici;Commentarii Mathematici Helvetici Mathematics general;
Communications in Mathematical Physics;Communications in Mathematical Physics Theoretical Mathematical and Computational Physics Mathematical Physics Quantum Physics Complex Systems Classical and Quantum Gravitation Relativity Theory;The mission of Communications in Mathematical Physics is to offer a high forum for works which are motivated by the vision and the challenges of modern physics and which at the same time meet the highest mathematical standards Leading journal in mathematical physics with a long standing tradition since 1965 94 of authors who answered a survey reported that they would definitely publish or probably publish in the journal again
Communications in Mathematics and Statistics;Communications in Mathematics and Statistics Mathematics general Statistics general;Communications in Mathematics and Statistics is a peer reviewed international journal published by SpringerVerlag in collaboration with the School of Mathematical Sciences University of Science and Technology of China USTC The journal will be committed to publish high level original peer reviewed research papers in various areas of mathematical sciences including pure mathematics applied mathematics computational mathematics and probability and statistics Typically one volume is published each year and each volume consists of four issues
Communications on Applied Mathematics and Computation;Communications on Applied Mathematics and Computation Computational Science and Engineering Applications of Mathematics;Communications on Applied Mathematics and Computation publishes high quality research papers and review papers in applied analysis mathematical modeling numerical analysis and scientific computing Papers involving two or more areas in this list are particularly welcome however papers in one of these areas are also welcome
Community Ecology;Community Ecology Community Population Ecology Biodiversity Animal Ecology Plant Ecology Microbial Ecology Marine Freshwater Sciences;Community Ecology established by the merger of two ecological periodicals Coenoses and Abstracta Botanica was launched in an effort to create a common global forum for community ecologists dealing with plant animal andor microbial communities from terrestrial marine or freshwater systems Main subject areas i communitybased ecological theory ii modelling of ecological communities iii communitybased ecophysiology iv temporal dynamics including succession v trophic interactions including food webs and competition vi spatial pattern analysis including scaling issues vii community patterns of species richness and diversity viii sampling ecological communities ix data analysis methods
Community Mental Health Journal;Community Mental Health Journal Psychiatry Community and Environmental Psychology;Community Mental Health Journal is devoted to the evaluation and improvement of public sector mental health services for people affected by severe mental disorders serious emotional disturbances andor addictions Coverage includes nationally representative epidemiologic projects intervention research involving benefit and risk comparisons between service programs methodology such as instrumentation where particularly pertinent to public sector behavioral health evaluation or research Please note All studies must be approved by human subjects committees also known as institutional review boards At the end of the Methods section authors must state which human subject committee IRB approved the study Studies public sector services for people affected by severe mental disorder emotional disturbance or addictions Presents nationally representative epidemiologic projects Coverage includes intervention research involving benefit and risk comparisons between service programs Addresses pertinent topics in methodology such as instrumentation
Comparative Clinical Pathology;Comparative Clinical Pathology Pathology Hematology Oncology;Comparative Clinical Pathology provides a source for the publication of reviews research reports technical notes and case histories covering all aspects of haematology and clinical chemistry in mammalian species Comparative aspects of our work refers to differences in amount number degree or quality from normal or expected findings and often is related to comparison between differing species including human Please refer to the Aims and scope section for a list of topics that could be considered for publication in the journal Comparative Clinical Pathology is an onlineonly journal and its print ISSN 16185641 is ceased
Comparative Economic Studies;;
Comparative European Politics;;
Comparative Hepatology;Comparative Hepatology Hepatology;
Comparative Migration Studies;Comparative Migration Studies Migration Sociology general Population Economics;
Complex Intelligent Systems;Complex Intelligent Systems Computational Intelligence Complexity Data Structures and Information Theory;Complex Intelligent Systems is an open access journal which aims to provide a forum for presenting and discussing novel approaches tools and techniques meant for attaining a crossfertilization between the broad fields of complex systems computational simulation and intelligent analytics and visualization The transdisciplinary research that the journal focuses on will expand the boundaries of our understanding by investigating the principles and processes that underlie many of the most profound problems facing society today Key topics of focus include Complexity Complex evolutionary and adaptive Systems Emergent properties and behavior in complex Systems Selforganizing collective systems Biological and social inspirations in problem solving Systems Science and Engineering Intelligent Data Analytics Data mining and knowledge discovery Machine learning Pattern recognition Big Data Analytics and data science Datadriven problem solving Computational Simulation Knowledgebased Systems Agent based Systems Uncertainty modeling Decision support Systems Brainlike computing Ubiquitous computing Computational visualization and interaction Presenting works on complex systems computational simulation intelligent analytics Covering topics such as selforganizing collective systems pattern recognition more Great visibility with open access
Complex Adaptive Systems Modeling;Complex Adaptive Systems Modeling Complex Systems Operations ResearchDecision Theory Simulation and Modeling Operations Research Management Science;
Complex Analysis and Operator Theory;Complex Analysis and Operator Theory Mathematics general Operator Theory Analysis;Please note this journals peer review system has changed it now uses Snapp Springer Natures Article Processing Platform See the journal updates page for more information Complex Analysis and Operator Theory CAOT is devoted to the publication of current research developments in the closely related fields of complex analysis and operator theory as well as in applications to system theory harmonic analysis probability statistics learning theory mathematical physics and other related fields Articles using the theory of reproducing kernel spaces are in particular welcomed CAOT is organised in the following six sections which are published in the form of topical collections Harmonic Analysis and Operator Theory Higher Dimensional Geometric Function Theory and Hypercomplex Analysis Infinitedimensional Analysis and Noncommutative Theory Linear Operators and Linear Systems Reproducing Kernel Spaces and Applications Spectral Theory and Operators in Mathematical Physics Accepted papers will be published in the most appropriate section Bibliographic Data Complex Anal Oper Theory First published in 2007 1 volume per year 8 issues per volume approx 2400 pages per volume Format 155 x 235 cm ISSN 16618254 print ISSN 16618262 electronic AMS Mathematical Citation Quotient MCQ 057 2021 97 of authors who answered a survey reported that they would definitely publish or probably publish in the journal again
Complex Analysis and its Synergies;Complex Analysis and its Synergies Analysis Functions of a Complex Variable Partial Differential Equations Algebraic Geometry Dynamical Systems and Ergodic Theory Functional Analysis;Please note this journals peer review system has changed it now uses Snapp Springer Natures Article Processing Platform See the journal updates page for more information Complex Analysis and its Synergies is conceived as a unique forum to showcase research and exposition surrounding the exciting and ongoing burgeoning of the crossfertilization of Complex Analysis with several other important fields of mathematics and physical sciences The journal validates and nurtures major new developments in modern mathematical analysis without including page charges to authors and will promote further growth in both analysis and those fields with which it synthesizes All articles published in Complex Analysis and Its Synergies are included in Google Scholar Online Computer Library Center Mathematical Reviews Summon by ProQuest zbMath Cover graphic Phase plot of a Blaschke product on the Riemann sphere produced by Dr Elias Wegert Technische Universitt Bergakademie Freiberg Germany
Compositio Mathematica;Compositio Mathematica Mathematics general;
Comprehensive Therapy;Comprehensive Therapy MedicinePublic Health general Primary Care Medicine Internal Medicine General Practice Family Medicine;
Computational Astrophysics and Cosmology;Computational Astrophysics and Cosmology Astronomy Astrophysics and Cosmology Computational Mathematics and Numerical Analysis Numeric Computing;
Computational Brain Behavior;Computational Brain Behavior Cognitive Psychology Mathematical Models of Cognitive Processes and Neural Networks Psychological MethodsEvaluation;NOW INDEXED IN SCOPUS Computational Brain Behavior publishes research on the computational basis of the mind The journal covers a wide range of topics using mathematical modeling computer simulation and empirical work This journal places a strong emphasis on scientific rigor and on the greater insights that quantitative modeling can provide In addition to contributions from psychology neuroscience computer science mathematics and linguistics the journal strongly encourages contributions from related disciplines such as modelbased cognitive neuroscience computational psychiatry and machine learning The journal is affiliated with the Society for Mathematical Psychology Peer Review Policy All submissions are peerreviewed and the peer review process is single blind The editor in chief performs a first check of the article to ensure that it reaches a threshold of quality to be sent in peerreview The editor in chief ensures that each manuscript is reviewed by a minimum of two independent experts in a related field Reviewers will receive instructions to comply with the journal ethical and editorial norms and to evaluate the submission according to the following criteria ethical soundness methodological rigour originality and potential to contribute to the body of scientific knowledge
Computational Cognitive Science;Computational Cognitive Science Computational Intelligence Computer Appl in Social and Behavioral Sciences Computational Linguistics User Interfaces and Human Computer Interaction Educational Psychology Neurosciences;
Computational Economics;Computational Economics Economic TheoryQuantitative EconomicsMathematical Methods Computer Appl in Social and Behavioral Sciences Operations ResearchDecision Theory BehavioralExperimental Economics Math Applications in Computer Science;Computational Economics the official journal of the Society for Computational Economics presents new research in a rapidly growing multidisciplinary field that uses advanced computing capabilities to understand and solve complex problems from all branches in economics The topics of Computational Economics include computational methods in econometrics like filtering bayesian and nonparametric approaches markov processes and monte carlo simulation agent based methods machine learning evolutionary algorithms neural network modeling computational aspects of dynamic systems optimization optimal control games equilibrium modeling hardware and software developments modeling languages interfaces symbolic processing distributed and parallel processing The journal publishes state of the art reports by invited authors brief software reports critical reviews and special issues devoted to the indepth study of a particular topic Officially cited as Comput Econ Presents new research which integrates computational science with all branches in economics Covers computational methods in econometrics agent based methods computational aspects of dynamic systems optimization hardware and software developments modeling languages etc Official journal of the Society for Computational Economics
Computational Geosciences;Computational Geosciences Earth Sciences general Geotechnical Engineering Applied Earth Sciences Hydrogeology Mathematical Modeling and Industrial Mathematics Soil Science Conservation;Computational Geosciences publishes high quality papers on mathematical modeling simulation numerical analysis and other computational aspects of the geosciences In particular the journal is focused on advanced numerical methods for the simulation of subsurface flow and transport and associated aspects such as discretization gridding upscaling optimization data assimilation uncertainty assessment and high performance parallel and grid computing Papers treating similar topics but with applications to other fields in the geosciences such as geomechanics geophysics oceanography or meteorology will also be considered The journal provides a platform for interaction and multidisciplinary collaboration among diverse scientific groups from both academia and industry which share an interest in developing mathematical models and efficient algorithms for solving them such as mathematicians engineers chemists physicists and geoscientists Covers mathematical modeling simulation data analysis uncertainty and high performance computing Focuses on quantitative aspects of models mathematical and numerical methods Builds multidisciplinary collaboration among mathematicians engineers chemists physicists and geoscientists Facilitate exchange of information across disciplines
Computational Management Science;Computational Management Science Operations ResearchDecision Theory Optimization;Computational Management Science CMS is an international journal focusing on all computational aspects of management science These include theoretical and empirical analysis of computational models computational statistics analysis and applications of constrained unconstrained robust stochastic and combinatorial optimisation algorithms dynamic models such as dynamic programming and decision trees new search tools and algorithms for global optimisation modelling learning and forecasting models and tools of knowledge acquisition The emphasis on computational paradigms is an intended feature of CMS distinguishing it from more classical operations research journals Officially cited as Comput Manag Sci Emphasizes computational paradigms Presents novel research results in computational methods Publishes papers dedicated to the development and analysis of applicable algorithms computational models and experience and balanced sets of applications Provides a central forum for research that is often scattered among various specialized publications
Computational Mathematics and Mathematical Physics;Computational Mathematics and Mathematical Physics Computational Mathematics and Numerical Analysis;Computational Mathematics and Mathematical Physics is an international peerreviewed monthly journal that publishes reviews and original papers on computational mathematics computational methods of mathematical physics informatics and other mathematical sciences The journal welcomes articles from all countries PEER REVIEW Computational Mathematics and Mathematical Physics is a peer reviewed journal We use a single blind peer review format The average period from submission to first decision is 16 days The average rejection rate for submitted manuscripts is 40 The final decision on the acceptance of an article for publication is made by the Editorial Board Any invited reviewer who feels unqualified or unable to review the manuscript due to the conflict of interests should promptly notify the editors and decline the invitation Reviewers should formulate their statements clearly in a sound and reasoned way so that authors can use reviewers arguments to improve the manuscript Personal criticism of the authors must be avoided Reviewers should indicate in a review i any relevant published work that has not been cited by the authors ii anything that has been reported in previous publications and not given appropriate reference or citation ii any substantial similarity or overlap with any other manuscript published or unpublished of which they have personal knowledge A monthly journal of the Russian Academy of Sciences RAS Includes surveys and original papers on computational mathematics computational methods of mathematical physics informatics and other mathematical sciences The English translations of papers published in Zhurnal Vychislitelnoi Matematiki i Matematicheskoi Fiziki
Computational Mathematics and Modeling;Computational Mathematics and Modeling Mathematical Modeling and Industrial Mathematics Computational Mathematics and Numerical Analysis Applications of Mathematics Optimization;Computational Mathematics and Modeling presents research in numerical analysis control theory and the interplay of modeling and computational mathematics It features work by scientists from Moscow State University an institution recognized worldwide for influential contributions to this subject Computational Mathematics and Modeling focuses on important Russian contributions to computational mathematics that are useful to the applied scientist or engineer and presents topical papers from abroad Presents research in numerical analysis control theory and the interplay of modeling and computational mathematics Features work by scientists from Moscow State University an institution recognized worldwide for influential contributions to this subject Details important Russian contributions to computational mathematics and presents topical papers from abroad that are useful to the applied scientist or engineer
Computational Mechanics;Computational Mechanics Theoretical and Applied Mechanics Computational Science and Engineering Classical and Continuum Physics;The journal reports original research of scholarly value in computational engineering and sciences It focuses on areas that involve and enrich the application of mechanics mathematics and numerical methods It covers new methods and computationallychallenging technologies Areas covered include method development in solid fluid mechanics and materials simulations with application to biomechanics and mechanics in medicine multiphysics fracture mechanics multiscale mechanics particle and meshfree methods Additionally manuscripts including simulation and method development of synthesis of material systems are encouraged Manuscripts reporting results obtained with established methods unless they involve challenging computations and manuscripts that report computations using commercial software packages are not encouraged Publishes original research of scholarly value in computational engineering and sciences Focuses on areas that involve and enrich the application of mechanics mathematics and numerical methods Covers new methods and computationallychallenging technologies 100 of authors who answered a survey reported that they would definitely publish or probably publish in the journal again
Computational Methods and Function Theory;Computational Methods and Function Theory Analysis Computational Mathematics and Numerical Analysis Functions of a Complex Variable;CMFT is an international mathematics journal which publishes carefully selected original research papers in complex analysis in a broad sense and on applications or computational methods related to complex analysis Survey articles of high standard and current interest can be considered for publication as well Contributed papers should be written in English exceptions in rare cases are tolerated and in a lucid expository style Papers should not exceed 30 printed pages
Computational Optimization and Applications;Computational Optimization and Applications Optimization Operations Research Management Science Operations ResearchDecision Theory Statistics general Convex and Discrete Geometry;This journal publishes research on the analysis and development of computational algorithms and modeling technology for optimization It examines algorithms either for general classes of optimization problems or for more specific applied problems stochastic algorithms as well as deterministic algorithms Computational Optimization and Applications covers a wide range of topics in optimization including large scale optimization unconstrained optimization constrained optimization nondifferentiable optimization combinatorial optimization stochastic optimization multiobjective optimization and network optimization It also covers linear programming complexity theory automatic differentiation approximations and error analysis parametric programming and sensitivity analysis management science and more This peerreviewed journal features both research and tutorial papers that provide theoretical analysis along with carefully designed computational experiments Officially cited as Comput Optim Appl Publishes research on the analysis and development of computational algorithms and modeling technology for optimization Examines algorithms either for general classes of optimization problems or for more specific applied problems stochastic algorithms as well as deterministic algorithms Covers a wide range of topics in optimization
Computational Particle Mechanics;Computational Particle Mechanics Theoretical and Applied Mechanics Computational Science and Engineering Classical and Continuum Physics;Computational Particle Mechanics CPM publishes original articles addressing the modeling and simulation of systems involving particle mechanics and methods It enhances communication among researchers in engineering and applied sciences who use particles in one form or another in their research The phrase particle methodsmechanics has now come to encompass a variety of topics including Particles as a physical unit in granular media particulate ows plasmas swarms agents Particles representing material phases in continua at the meso microand nanoscale and Particles as a discretization unit in continua and discontinua in numerical methods such as Discrete Element Methods DEM Particle Finite Element Methods PFEM Molecular Dynamics MD and Smoothed Particle Hydrodynamics SPH etc CPM focuses on the above topics and welcomes their use on a variety of applications such as Particulate and granular flow problems motivated by hightech industrial processes such as those found in additive manufacturing spray deposition etc Manufacturing processes involving forming cutting compaction etc Fluidstructure interaction problems accounting for free surface flow effects in civil and marine engineering etch as water jets wave loads ship hydrodynamics debris flows etc Coupled multiphysical phenomena involving solid fluid thermal electromagnetic and optical systems etc Material designfunctionalization using particles to modify base materials etc Biomedical engineering involving cell mechanics molecular dynamics and scalebridging and Impact resulting in fracture and fragmentation Modeling and simulation of systems involving particles and particle methods Realworld applications in manufacturing marine engineering and biomedical engineering Covers modeling and simulation of systems involving particles and particle methods Spans realworld applications in manufacturing marine engineering and biomedical engineering
Computational Social Networks;Computational Social Networks Mathematical Models of Cognitive Processes and Neural Networks Database Management Media Sociology Industrial Organization Datadriven Science Modeling and Theory Building Industrial and Production Engineering;
Computational Statistics;Computational Statistics Statistics general Probability and Statistics in Computer Science Probability Theory and Stochastic Processes Economic TheoryQuantitative EconomicsMathematical Methods;Computational Statistics CompStat is an international journal that fosters the publication of applications and methodological research in the field of computational statistics The journal provides a forum for computer scientists mathematicians and statisticians working in a variety of areas in statistics including biometrics econometrics data analysis graphics simulation algorithms knowledgebased systems and Bayesian computing CompStat papers emphasize the contribution to and influence of computing on statistics and vice versa The journal also publishes package reports Officially cited as Comput Stat Fosters the publication of applications and methodological research in the field of computational statistics Emphasizes the contribution to and influence of computing on statistics and vice versa Provides a forum for computer scientists mathematicians and statisticians working in a variety of areas in statistics Publishes package reports and software articles
Computational Urban Science;Computational Urban Science Geographical Information SystemsCartography LandscapeRegional and Urban Planning Computer Appl in Social and Behavioral Sciences;Computational Urban Science publishes rigorously peerreviewed and highquality original articles reviews method papers and opinion papers that focus on the intersection of computational sciences and urban sciences in building intelligent and resilient cities It is an OA journal and the APCs are fully covered by Jiangxi Normal University The journal aims to introduce the latest results in urban computing and its applications examine both the spatial and social dimensions of urban networks and built environment promote the cooperation between computational disciplines and the urban domain sciences and build a bridge for scientific communication This journal will focus on the development of research frameworks theories methods and good case studies of tackling key urban research challenges in the mobile and big data era Sample topics include but not limited to 1Agentbased models of social interactions 2Data sharing and dissemination in urban computing research 3Largescale Social activities in physical and virtual spaces 4Multiscale urban modeling 5Privacy issues in mobile and big data and possible solutions 6Spacetime data models for urban computing 7Spatiotemporal social network analysis 8Trajectory data mining analysis and visualization 9Visualization and computation of big health data Provides unique focus on the intersection of computational science and urban science Disseminates content globally through journal website and social media platforms APC fully coveredsponsored by Jiangxi Normal University
Computational Visual Media;Computational Visual Media Computer Graphics User Interfaces and Human Computer Interaction Artificial Intelligence Image Processing and Computer Vision;Computational Visual Media is a SingleBlinded peerreviewed open access journal published quarterly by Tsinghua University Press and Springer It publishes original highquality research papers and significant review articles on novel ideas methods and systems relevant to visual media The journal publishes articles that focus on but are not limited to the following areas Editing and composition of visual media Geometric computing for images and video Geometry modeling and processing Machine learning for visual media Physically based animation Realistic rendering Recognition and understanding of visual media Visual computing for robotics Visualization and visual analytics Other interdisciplinary research into visual media that combines aspects of computer graphics computer vision image and video processing geometric computing and machine learning is also within the journals scope The publication costs are covered by Tsinghua University so authors do not need to pay an articleprocessing charge Presenting research on novel ideas methods and systems in visual media Covers topics such as computer graphics computer vision image video processing more Utilizes a rapid review policy
Computational and Applied Mathematics;Computational and Applied Mathematics Applications of Mathematics Computational Mathematics and Numerical Analysis Mathematical Applications in the Physical Sciences Mathematical Applications in Computer Science;Computational Applied Mathematics began to be published in 1981 This journal was conceived as the main scientific publication of the Brazilian Society of Computational and Applied Mathematics SBMAC The objective of the journal is the publication of original research in Applied and Computational Mathematics with interfaces in Physics Engineering Chemistry Biology Operations Research Statistics Social Sciences and Economy The journal has the usual quality standards of scientific international journals and we aim high level of contributions in terms of originality depth and relevance CAM is currently reviewed in Mathematical Reviews and Institute of Scientific Information Webofscience
Computational and Mathematical Organization Theory;Computational and Mathematical Organization Theory Management Operations ResearchDecision Theory Artificial Intelligence Sociology general Methodology of the Social Sciences;Computational and Mathematical Organization Theory provides an international forum for interdisciplinary research that combines computation organizations and society The goal is to advance the state of science in formal reasoning analysis and system building drawing on and encouraging advances in areas at the confluence of social networks artificial intelligence complexity machine learning sociology business political science economics and operations research The papers in this journal will lead to the development of new theories that explain and predict the behaviour of complex adaptive systems new computational models and technologies that are responsible to society business policy and law new methods for integrating data computational models analysis and visualization techniques Various types of papers and underlying research are welcome Papers presenting validating or applying models andor computational techniques new algorithms dynamic metrics for networks and complex systems and papers comparing contrasting and docking computational models are strongly encouraged Both applied and theoretical work is strongly encouraged The editors encourage theoretical research on fundamental principles of social behaviour such as coordination cooperation evolution and destabilization The editors encourage applied research representing actual organizational or policy problems that can be addressed using computational tools Work related to fundamental concepts corporate military or intelligence issues are welcome The journal publishes a number of special issues on focused topics including organizations of intelligent agents counterterrorism computational statistics for networks and organizations in crises In addition tutorial papers such as how to check the robustness of a simulation or system details such as algorithm descriptions are also welcome The audience is international in scope It includes researchers students academic corporate and military personnel in all of the social and organizational disciplines operations research and graph theory mathematics computer science and management Officially cited as Comput Math Organ Theory Provides an international forum for interdisciplinary research that combines computation organizations and society Offers a new perspective on organizational research by using computer simulation logic and artificial intelligence Advances the state of science in formal reasoning analysis and system building
Computer Supported Cooperative Work CSCW;Computer Supported Cooperative Work CSCW Computer Science general User Interfaces and Human Computer Interaction Psychology general Social Sciences general;Computer Supported Cooperative Work CSCW The Journal of Collaborative Computing and Work Practices is devoted to innovative research in computersupported cooperative work CSCW It provides an interdisciplinary and international forum for the debate and exchange of ideas concerning theoretical practical technical and social issues in CSCW The CSCW Journal encourages contributions that are mindful of the relations between socialscience studies of cooperative work practices and their requirements with respect to computing technology For example we would urge social scientists who have made a study of a workgroup to spell out clearly what the implications of their findings are for design of appropriate computer support Equally we would urge computer scientists reporting on a technological innovation in say meeting room support to spell out clearly how this work is motivated by studies of meetings or what new studies of meetings it suggests What is required is that contributions to the CSCW Journal have visible implications for CSCW implications for the development of practiceoriented computing technologies
